," =COUNTIF(A:A,A1)>1"
79fa840a-18ba-b381-8edb8d685cb3,Nodes Lost Communication
56984e97-0577-1f78-d046449116b4,Job performance
d3d40718-9e85-ef53-21a4026ccb58,ValueError: year 0 is out of range when trying to parse json schema using spark.read.json
369cd3c8-d6dd-0007-fbdb616a9a9a,Kafka streaming tasks are failing continuously without any data transmission
3f4ea322-be1d-12ad-e330723fd0c6, 2204260040007251003 - Genie Access
36c21cf9-6b74-0c19-8c46b2864a5e,genie
5ff95068-efd2-4efe-2e1d2b7f98bc,Notebook execution failure
fa72f14a-4003-8b23-579dfcb1f678,Genie Access Request
330f9df5-6591-ca0d-1e03f62345e1,ARR | 2205160030001741 | AzureADAuthenticator.getTokenCall threw java.net.SocketTimeoutException : Read timed 
5ade0794-1bc4-883b-e7a38d61ff7d,2205260030000947 GENIE
fa7fac3f-c00f-1a6d-66e106bb1318,2205260040001988 || Genie Access Request
f4bf5944-ac87-6292-d120bd5a15a8,Authentication error while logging to Databricks
c031532f-fa59-a3ac-bb798bad2fbb,AuditLog設定時のs3:DeleteObjectは必須権限となるか。
d623107d-f66b-f3ab-de982fff9df9,genie
3048f708-22ec-f0cf-d3ebe1593d92,ARR s500 | 2205040030001107 | Jobs API issues
ad51909d-45b7-7ca1-c1878475a4cd,Data loss with applyInPandas
030c10f7-03d5-292a-7928fa04f511,Genie Access - SR 2205250040009267 
ffee3006-4e07-8a1b-a426d630cc4f,Stream Ingestion cloudfiles failure
42d7dfa7-ac8e-8134-897c237f1c96,[ARR] [Sev C] SR-2205250050001827 Quota request for Other Requests
f868c156-18fd-958a-dad9e48b25c8,How to assess performance of notebook included with %run magic
e7c64d25-fb6f-8949-8335a05fcf38,Slowness in query execution.
daf075d0-49f2-7636-957e2bb6885f,Facing error while running job
9ec8e071-91b6-8b52-d7ac3968265f,The job failed with INIT script exception.
199449fb-5d39-167c-2f554a517b6e,genie
079aa67c-b6fe-a67e-ab0049944d9d,"Sudden cluster termination with error message ""CLOUD_PROVIDER_SHUTDOWN"" | ARR SR# 2205250030000379"
a55d46e4-6440-5062-bd325ac9c2de,Databricks MLflow bug
0542216e-abb3-2e19-486174e20b98,CSS-ARR-S500-SR#2205250030000489-Long running job
805eaacc-74d7-25ae-838a23eb4b50,Genie-2205260060000312
884d6046-428f-cc66-2b9ceddf9691,Genie Access
2476d3e2-6309-12a6-506b21690ed8,Databricks jobs failure with Internal Python error in the inspect module.
91106c23-0d42-de36-11b1e4f58e93,Genie Access
bef74bf5-e0a8-55d2-c0de4e66da12,Genie Access
f80f08d1-262a-4701-f3aa2b7a09ad,ARR | 2205250060001495 |  PointsBet | Outage | Unable to start clusters 
01eb218e-edc6-cab4-787b6c0418a3,genie
2ddce219-1dbb-0e3a-8b2e22d7260e,Genie-2205260040000787
3bd58ac0-d931-dc65-b304b1df6d2b, Databricks Support - SQL Workspace Issue
92c78e7b-d278-ed94-50ee91aae248,Genie Access - SR 2205250040009267
eb4c2548-ff5d-5c21-3c6e22659a44,genie access
a086de6e-d7aa-ef57-30c2b7f09508,issue using the databricks feature store on an ephemeral run
31b10ce6-f53b-878d-af94446d0bab,2.21E+15
de1ffff4-f890-e008-99e57fbe7c15,genie 2205250010001325
0bba29a8-f493-deb9-d0671c6a18b6,"Job gets stuck on “uploading command"" "
21b4504b-0ade-feb9-389abfe79122,Genie-2205250040009377
a6f7792b-5956-7fe8-0f72694f985b,cannot start cluster on northcentralus
8e08b4f7-8a8a-5c0e-411fe4b76220,2.21E+15
55e8682b-e7fd-d90e-6488e1215338,cannot start cluster on   northcentralus
6fe5a2ce-abd4-6b41-792081c3b3c8,2.21E+15
022ed652-5009-2df4-df9ff106b95d,2.21E+15
d15b0816-4bab-85f5-278eabf0b1ba,Databricks Clusters are not starting
f0facae6-9985-01bc-3748f58ce10f,[ARR][ 2205250030002536][AholdDelhaize]we are unable to see clusters in Prod ADB03 workspace. Getting Backend service unavailable error.
09669e74-c63b-baa8-2eceeb0a9794, Kafka streaming tasks are failing continuously without any data transmission
1238f579-ce13-e6d7-2d850403c97d,Databricks DBU consumption
632cabde-f571-6faa-5661c11b8d74,Sev A - ARR - Facing issue Running jobs using databricks sql connector
4687622f-7600-87ea-416ebf29f874,SQL Data slow loading
bdcda75e-0f61-9c80-dd211c4e467b,UI access not working
3460f885-1503-a0c2-c1a16ca473a9,RND - Production jobs failed with network connectivity issue
240d267c-772e-5ad5-bc56bf809b67,ARR Customer Starbucks: Issue - Intermittent issues during auto scaling.
acd14bfa-760f-910d-5754acdd4a88,Update IP address whitelist for finra-prod shard
82b3e95e-8d1f-75dc-f5ff589f8f50,Databricks Operational Outage
789cadc7-d8cf-a4eb-0f8599d761b2,ARR Customer Chicago Trading Company: Issue - Databricks Clusters are Inaccessible
91f27269-325d-83ea-3d3ec57573c9,[ARR][Public Analytics][2205250030002283 ]Notebooks/Folders under FIONA/RBS need to restore and audit report 
43ea5f1f-791e-70ef-f76c7d0c39f0,ARR Customer Chicago Trading Company: Issue - Unable to Access Clusters. 
90f72659-35ea-f0a0-6822e01a2a2b,"ARR:IDENTITY Column Not Unique,seeing duplicate values in the IDENTITY column:SR2205250040005673 "
c996bb76-152d-4869-ea2b66a144bf,spark commands get stuck
f397e5ff-2cc5-2ad9-b38328795352,Reverse CredentialsProvider setting
4da44d78-cad9-149b-8cbae0d8b751,Billing Details
1e48c18f-f8c8-70fc-21d73256f7d9,Problema de conectividade DATABRICKS via firewall- Saved
dc44e559-8569-d242-3dce1f57fb7d,MLFlow Infinite Recursion Error when unselecting metrics
6ba29e14-cc1d-10b2-b3c3b0f5bd89,bad configuration in terraform
d559a5db-0141-fd1b-d1e25b266f67,Genie 2205250040007523
659a0282-b66d-c022-cc0e3682c8b1,[ARR][Public Analytics][2205250030002283 ] Missing Notebooks/Folders under FIONA/RBS in DEV ADB03
3db32c99-6ca2-481b-3f4a92e7322c,Provide Nexus credentials to clusters
71bcfe28-2ee3-7bf4-961cddab773d,Repo Error
d533072a-46d5-8366-7b1417a56b30,"Notebook commands not getting executed, showing as Uploding Command on UI, UI bug"
1d63be13-a9df-54ab-516fa3827c25,permissions changed on cluster
b9921dbb-c29e-aea6-9fdfa3e77d7b,Libraries are not installing
ee57de66-a623-1e2a-e54ee6e7cbb1,Hive Metastore Integration
05b41594-c538-170f-9f4c30232aa5,Invalid Bucket Error
c818d321-9a55-cfac-f56567de3887,Best practice for images in delta lake
887caed6-ed87-91be-ff47c21c8bdb,Genie:ARR: IDENTITY Column Not Unique :SR 2205250040005673 
fe1db0ac-2afb-ae3a-c47ba003292a,Genie-sevc-2205240040008340-unable to select the log file from the web services
b597cd50-fe48-2698-2678ed21cb74,Databricks views are being recreated with all column names in lowercase.
a5a2911f-9f63-5e92-c19c00cb1c5f,ARR 2205180010001040 - Customer's workspace is slow
cd258b56-25d7-a408-674b24d72d00,S500 | Highly escalated| job performance degredation 
30b95022-b977-bb85-7081a49f7762,ARR | Databricks job deleted automatically | 2205250030001931 
02a14bf2-5ea3-3bd6-c12ed7f4fe37,genie
ee5ef77b-2df4-4227-a727ed9b83d4,CRITICAL Findings - CVE-2022-22824 - expat
76beac75-5d08-b5de-707d660c694c,0.4 LTS Runtime Issue
815c5d80-face-0baf-e72c78c51fe6,odbc error in power BI conencting to DBX
bf18577b-6139-e061-d7c7885eba06,[ARR]  calling the global init script of a Databricks cluster from automated azure devops pipeline issue
a441b34e-8737-d148-ea83f045b2f5,workspace access | 2205170050002219
e7475cc4-0e13-8402-bae71310ae2c,Enable prometheus metrics
81c72cac-9cde-e0a0-bba970991263,configuring delta cache for cluster
4cc775a5-08b0-810a-3b0ebdebdbef,2205250050001655 || Genie Access Request
fc9cd51e-84db-ce3e-8c9cfd63a7c9,FileNotFoundError in spark execution
29b727df-2943-3555-a1f685d0f05e,gar-for-2205170050002951 
602811c9-e938-0670-284636ea3246, SSH Databricks cluster connection error Power BI
30bbbda2-174b-18cd-94c289692e8e,Connection between databricks workspace and datalake
a4a1984e-2732-c1cb-83ba95de426f,genie access
d1160413-5756-02de-f1207f82930a,CSS-ARR-S500-SR#2205200040003401-Unable to Launch Cluster
22a517b7-2ecb-0ce9-012bb12216cd,Spark image processing very slow
98542081-3e1e-5d02-382b814e3280,Genie Access | ARR SR# 2205130030001130
153a9457-26d4-9d46-72cc1552641a,worker is lost during jobs execution
e1f57e4f-7736-70ff-e38413846893,unable access to experiment in mlflow
f404063b-9e37-8739-82b63eb87e5c,Genie
553791a6-d727-2994-f263ce806307,Data loss with applyInPandas
63241fe4-2aff-288e-047bda519523,Terraform error for mounting a bucket
fe48d861-62a8-a88c-7a3b4611527e,SQL joins gives wrong result
7aa9d7de-7147-0a40-48d680204af2,genie
7ea6c06c-5720-0946-f94ec361fde2,Failed Databricks notebooks
62133c0a-58e4-ea84-c11ad008c14a,How to avoid WARNING: skipped 44535 bytes of output in job output
13592a86-a466-3d04-22222a02f4b9,2205170050002982 || Genie Access Request (WS-8003504863710084)
f548d2f4-03cb-430a-fe7be6553ff0,2.21E+15
43089405-9649-c1d7-a219d255ffc6,Best practices for deploying mlflow model to Azure Container Instance
b48446b9-cef0-2293-70b5178b3497,Error when trying to read from s3
2a321f92-2154-e133-e6de285e1511,2205250060000952 genie
b6fb4781-4445-7840-1a775bbd46ec,CSS-ARR-S500-SR#2205250030000489-Genie Access Request
d2909592-6121-80f5-c1ba83907bc6,Spark streaming job continues in background while status is failed
3d7c6e9a-114a-19f6-99ef4eafd5ed,Genie-2205250030000144
a4411611-ce59-be22-4e4658e2bc87,UnityCatalogマネージドテーブルアクセス用IAMポリシーに付与する権限について
c28f81f1-74da-621d-500227ef072c,Enable Unity Catalog
58b046c2-548b-89c6-f846c1baf047,2205240030000450 | ARR | Error creating cluster
55f68ab0-a89a-4fee-d4f2c9b4d15b,2205240050001764 genie
9832d32d-b7be-0c8e-8ada8ac41d56,Add Comment to Column Create Table AS
d10c2bac-1ef5-d4ab-87b5ff43a6a5,Disable Schedule of Dashboard via API
fc8f80ea-fa43-749b-da2503f5d9a8,Cluster terminated.Reason:Self Bootstrap Failure
1ed9c1dd-4e34-f66e-d0d71f26dbf5,ARR | Production issue : Unable to read delta tables | GEP | 2205250030000679 
0b132565-fde4-b633-ff039900fc17,Databricks execution taking a lot of time
12cd46ad-c2c2-eb3c-362da673c72f,2205090030000751002-Need Genie Access
cbaccf5d-c7c8-af77-e2b1792888d3,Genie Access | ARR SR# 2205250030000379
36435b96-24de-7587-0cbb3c1b2c33,Confluent Databricks sink connector
f501cf29-5d29-4ab8-0187f4992922,genie
9a02e960-884b-c902-ea2c86cd562e,Cluster terminated.Reason:Self Bootstrap Failure
9aad5344-a977-30f3-be9bbe32861b,Performance issue on the notebooks execution. 
9d15ac00-3682-a316-000315f36b20,2.21E+15
bec00aa8-be38-6cc8-ab57988c7853,CSS-ARR-2205250030000526-could not able to see cluster list in compute service
e3133bc5-e69b-d097-43a6d5207142,ARR | Shell | 2204220060001123 | Follow up ticket 00143284 | INIT scripts are not downloading the jar with dependencies | 
a573b756-9491-3505-eb56e175f280,[Genie Request] dbrproductsupplyp101
84d13f60-1249-ff4a-fab3003e33bc,Error reading streaming state file of HDFSStateStoreProvider
3e3eb7bc-1cb9-051f-06a8833d0fe5,"[ARR] [Sev C] 2205180030001625-Sometimes, we are facing an SSL connect issue when importing the data to PowerBI from Azure SQL Endpoint of ADB"
b7a44425-7644-d30d-98345485a99c,runtime 10.4 duplicates columns where 9.1 does not 
d8715a86-6f6e-8f39-9c12caecdcac,外部テーブル作成時に必要なIAMポリシーについて
62b1cad1-dba4-e15d-7cba4809f508,Genie access request
9364b6b6-86b3-9347-aa8ada81c738,genie
a6603bd6-fe05-15c8-5e550d7c38ac,220
3782c919-5e76-8169-6b4d0a41592a,Cluster launch fails with Failure message Cloud Provider Failure Azure VM Extension stuck on transitioning state
ea7f7d7b-2cc4-0e77-891585b08b12,Jobs API downtime ?
0fac581a-f04d-c0c2-fa05ba74c560,HdfsBridge::recordReaderFillBuffer 
06604c58-c386-c528-8c38687e6052,Need to check why the model training for so long and there has a good run for this.
1196c345-6823-a3b0-2d1e10eaaaff,cannot retrieve driver log
c3626130-645f-ffab-44eea94e372a,Progress of Feature request 
b287d586-0928-adc9-d976fb4d3a47,Geni access request
e2c4851f-3cd7-1c7f-a1d977722ec3,{CSAT Impacting}Cannot Add Scope for Key Vault in the Databricks side
2d0e02cc-0d0e-2ef9-c5e3abb35d9d,Spark version change issue
1bfb4493-877b-6776-1a21260b0c3d,"SQL Parse exception on SQL analytics, succeeds on Athena"
f314845a-0267-7bd5-a7c23ee35898,scheduled job did not get cluster assigned.
1fd104f4-e857-93f1-8a1da7462e40,Genie access request
af75c251-b47b-2722-ad58299b0727,Genie access request
9e535040-f7b6-19d4-b9297448716b,Genie access request
4ba5e99d-adc7-c80e-b73609d008b6,some inconsistent stats in the few feature 'Data Profile'
e63f7e7c-4d03-98ef-b2726340187f,Enable Unity catalog
254b182d-e752-2172-7ac710f78e1b,Job aborted due to stage failure
e89d6549-8b42-07d0-a31bcee772d4,Databricks related queries
968783df-88ae-6910-c3ada9c11b5c,[ARR][Latency issue in Databricks workspace]
ac52d7c3-0028-618b-7dcee457a492,genie
3db07eca-5756-5bcf-36c16c91b977,Issue with certian DBR versions connecting to Glue catalog
575fe9f8-fd49-505f-0c37997eaf86,ARR- ATT- Clusters with GPU won't start- 2205200040006767
2d256e67-4eb2-c589-4d30f5a5c206,[ARR] [Sev X] SR- 2205240040005038 Operation on target Ingest to Delta Table failed
f19d6b31-e906-a00c-dc5ec0bab9aa,ARR | 2205230030001082 | Is access to the delta table using ADLS credential passthrough with SQL endpoints supported?
ddcbe240-31c2-f8e0-59801b8a0709,databricks workspace does not return status of all the completed jobs using REST API
eb41782a-bd1d-8dfc-4f99088dc707,All E2 environments are down.
eec6e804-e236-f01d-e541f7a9956d,All envs down with following error
34e2ad35-f7a6-974d-055359b2ea81,Unable to login to Databricks workspace. 
251a0d00-7423-2d5d-b509b9717a67,Workspace Down
cbf0d6ba-192f-87c2-3614c11ddcca,All Biogen Databricks workspaces are down
19692d34-cbba-2249-1fc5075969bc,Databricks Queries are Taking a long Time Stays Stuck at  'Uploading command' 
2f4cf026-64ca-fd63-388713b21b9e,SSO Broken in all workespaces
01367d0e-ba96-a6ae-c94c49803b99,Workspaces are not reachable
2a0cabc2-dfbb-fcfe-eed528be2b4b,Authentication unavailable
c2f223b6-ef3b-7092-2b5037ad43c9,SAML error while setting up
c4077943-e64f-54f8-b70a0183edde,Recover databricks workspace
92c96082-a24b-d913-0ae61f8b3574,Recover databricks workspace
bfbb8573-d9ae-e7c7-6a33a27d23c9, Recover databricks workspace
9b0153f7-3ae9-f08a-6480f6fdc993,Increased AWS data transfer regional costs on clusters
62b548d4-2438-78a1-fd3569b6ce5b,Genie:ARR:SevB - Job failing to execute-2205240040005960
e805e58a-e850-e4e5-6e143ff3741c,2205230040005172 | Job Failure
5211bbf8-cc08-9d1b-9f2b35c9850a,passwordless SFTP connection
3b0117b5-582a-f880-b26c73585a7a,NPIP tunnel setup failure in Spark job
0a8c3b34-fca6-f967-27913d27faa9,Platform Issues Faced 
a2b74e9b-6c25-b743-84c765b31f92,passwordless SFTP connection
3c54323e-bb56-8e0a-5bef1cffd114,958145594491036 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2205190040004859
b2235232-f209-d407-85c724868943,Genie 2205230040008078
85fd0cf4-b66f-6712-21e382c33b0a,Intermittent issues while affecting multiple workspaces
b4a63fc5-b611-19ff-f0dcac289f9a,Parsing RDD with read_csv behavior changed between 7.3LTS and 10.4LTS
1fabd493-8d32-9825-f7d007deaf1f,workspace_does_not_exist_error when launching Databricks Workspace
e90b0a9e-dd6e-1cce-aefb461e59da,Object sqldb is not a member of package com.microsoft.azure. the latest JAR with dependencies is installed but still have the error pop up.
da50b732-a802-a8d8-1c7333d0a957,Genie - 2205170040004514
beebfadd-f3de-114f-0c0a84406cb3,"Runtime Error, cannot open the connection"
be8a23ac-5743-0c07-c6c6b601a898,2205180050001916 - Missing Library after cluster start
cfa44aef-bb80-db36-e57e64f8b3c6,2205240040005594 | container
f0731722-36f5-55c3-4f55da45571e,Genie 2205230040008078
a3e864f0-1e12-1b0f-dd60f75e3bd6,Databricks Prod Issue Caused by SparkException
7270b721-bbce-bbaf-da4a8f886ef4,2205130050001971 access to DBFS from SQL endpoint
7409b02e-bad6-5553-6638f47f7419,ARR - GAP - 2205200010002443 - Diagnostics logs are not available
066c8a04-bcdb-a11e-ccc596bb8f6c,Unable to start clusters
3a6864e1-bd97-041a-49e66d7ab1e2,genie-Pipeline failed on running notebook
6b81ba70-dfbd-c603-07b710fb6f76,Genie for 2205230050001967002 
cb67fb8f-75a7-bf9a-f8c60a2ab329,ARR - EY - 2205200040005272 - Databricks jobs failed
a26767c0-eaed-c7dd-8cb9607e5ff0,Notebooks/cluster Detach and Re-attcah issue
d96c26c7-a386-0c5d-14dfd8803da4,Genie 2205230030001720
3f70856f-791c-31f7-3a267c987dcc,"Runtime Error, cannot open the connection"
73ed385f-1612-dcaa-46a6e1c3cbb0,Delta Live Tables Cluster Init Scripts?
05af03c8-1c21-1be2-309132e66767,ARR | 2205200050000441 | Databricks Security and Compliance
8e62ad85-d1a9-eaad-881d7a194de7,Issue while downloading and uploading a jar file
00b51ae2-5f98-5637-576f6e81f067,ARR |  | 2205130040004443
b9727dc4-af41-aa63-6cbf9fd3373a,Problem reading XML files
a6567b90-bc67-196a-5dae59d09160,Join takes seemingly forever and eventually aborts
06a30ba8-c77f-e67e-62a180e811fe,MOVE dag is failing
f3c96b8a-00b5-a187-e3b73b2f7b8c,Security vulnerabilities
c550376d-2a4f-67bc-2e3d23b9039b,Ganglia stops working
959efff5-3098-0d4a-135ab7882e0f,2205230030001141 | ARR | Cluster Deleted
42f40f19-1017-fc11-7da45d08e23d,Airflow Connectivity problem with databricks.
45da8356-c651-c9bb-df871ffed7bf,Customer wants to know who deleted a folder
c9e366e6-c42b-eaad-716a70138d9b, Notebook showing function does not exist
4321c8cf-11f7-8876-b20d364b857b,ARR | username not being identified | 2205200010000014
e7e860f1-ab07-ac77-a0d44e8f834a,Followup of SF ticket 00145109
610ad994-786d-6cf3-64ef92563f95,2205200050001146 genie
49c045b6-a633-a3ca-e1a8fcf38d77,2205240050000751 genie
f41c1c84-a500-d689-5ca6f3ab4fa1,Databricks job fails after running 150-180 hours
97eef432-4295-4dc8-2f1f3c4d1ee7,2205240050000899 - Genie
dc0c390a-e9f7-4f8a-498316ae9ebb,2.21E+15
4a572108-e43c-844e-1713ab4842a7,CSS-ARR-2205240030000617-Databricks Spark Job - ExecutorLostFailure (executor 0 exited caused by one of the running tasks) Reason: Remote RPC client disassociated.
4bd57f8b-f423-b261-6c167fc7fae9,2.21E+15
3f5dc79d-aa4f-dd8b-706f1e6b8813,Notebook issues
410fc585-2e01-f3ad-4c8b45a02447,Failed to acquire MySQL lock job-5
8acf7975-6fb8-16fb-558e337c8528,Need your confirm that if we could check 
055807db-e9f2-73cf-05315fa60b9b,2205200030000894 genie
e2bd9eda-162b-13d7-c2b4d327be7e,Genie
64341d22-f738-0da0-3d113e82c063,genie
e7bc2d83-7518-6375-93503138bcbf,Genie 2205120050000556 
bbd78783-42bf-9059-fc7e1e60c449,Unable to submit Databricks Jar job and pass the spark parameters
ae56df77-09ab-86fa-c1b41e067968,[ARR] [Sev B] SR-2205190010002627 RCA-performance issue for job executing
2c067670-cad6-c726-32d208b5e6a7,Genie Access | ARR SR# 2205170030001630
603e64f7-cac9-cc58-38057944aaa7,2205130050001200 genie
faa448bf-2a84-82c6-d981be7eac16,New user doesn't receive an invite email
197b4280-07ff-8b84-5df860d92829,2.21E+15
dec98e0e-b4e1-d9fe-ee29496239df,2205240030000617-Need Genie Access
